,Learning Rate = 0.01,Learning Rate = 0.005,Learning Rate = 0.001,Learning Rate = 0.0005
230,212.0,53.0,100.0,67.0
231,437.0,76.0,145.0,88.0
232,490.0,78.0,158.0,81.0
233,393.0,69.0,116.0,83.0
234,201.0,80.0,146.0,60.0
235,81.0,54.0,126.0,57.0
236,456.0,50.0,94.0,53.0
237,435.0,82.0,184.0,94.0
238,308.0,90.0,134.0,55.0
239,99.0,54.0,87.0,87.0
240,98.0,61.0,157.0,51.0
241,431.0,66.0,144.0,71.0
242,954.0,90.0,424.0,62.0
243,368.0,62.0,205.0,66.0
244,986.0,79.0,263.0,84.0
245,431.0,54.0,271.0,65.0
246,409.0,67.0,104.0,69.0
247,436.0,59.0,272.0,80.0
248,530.0,98.0,131.0,81.0
249,434.0,69.0,210.0,74.0
250,557.0,114.0,140.0,70.0
251,441.0,68.0,77.0,60.0
252,702.0,109.0,122.0,77.0
253,410.0,67.0,105.0,59.0
254,471.0,63.0,184.0,60.0
255,466.0,106.0,82.0,85.0
256,356.0,60.0,76.0,89.0
257,506.0,54.0,297.0,60.0
258,733.0,81.0,206.0,57.0
259,103.0,145.0,287.0,83.0
260,371.0,122.0,152.0,60.0
261,387.0,61.0,133.0,92.0
262,620.0,76.0,125.0,76.0
263,428.0,69.0,111.0,64.0
264,540.0,59.0,163.0,74.0
265,65.0,86.0,331.0,73.0
266,444.0,55.0,154.0,52.0
267,268.0,57.0,111.0,62.0
268,456.0,184.0,168.0,57.0
269,493.0,85.0,85.0,60.0
270,786.0,61.0,166.0,64.0
271,183.0,109.0,235.0,53.0
272,83.0,63.0,105.0,70.0
273,431.0,73.0,174.0,53.0
274,222.0,70.0,202.0,53.0
275,359.0,73.0,131.0,79.0
276,592.0,94.0,116.0,61.0
277,600.0,58.0,74.0,56.0
278,592.0,134.0,233.0,88.0
279,566.0,61.0,153.0,68.0
280,628.0,88.0,137.0,70.0
281,658.0,94.0,115.0,79.0
282,570.0,74.0,133.0,106.0
283,99.0,92.0,157.0,77.0
284,340.0,60.0,252.0,82.0
285,88.0,96.0,275.0,88.0
286,459.0,149.0,257.0,77.0
287,321.0,96.0,208.0,54.0
288,656.0,84.0,122.0,69.0
289,463.0,120.0,99.0,78.0
290,528.0,76.0,118.0,61.0
291,824.0,90.0,128.0,83.0
292,538.0,77.0,223.0,71.0
293,409.0,87.0,338.0,90.0
294,88.0,54.0,273.0,64.0
295,102.0,75.0,95.0,63.0
296,92.0,78.0,116.0,89.0
297,803.0,82.0,124.0,54.0
298,439.0,100.0,109.0,64.0
299,104.0,58.0,352.0,80.0
300,100.0,108.0,117.0,65.0
301,502.0,54.0,89.0,62.0
302,686.0,149.0,248.0,65.0
303,132.0,123.0,100.0,80.0
304,433.0,85.0,90.0,63.0
305,807.0,60.0,68.0,60.0
306,126.0,167.0,249.0,65.0
307,336.0,74.0,186.0,67.0
308,145.0,107.0,293.0,63.0
309,734.0,80.0,234.0,62.0
310,189.0,69.0,277.0,69.0
