,Training Times Before Weight Copy = 50,Training Times Before Weight Copy = 100,Training Times Before Weight Copy = 1000,Training Times Before Weight Copy = 10000
136,-290.42634886736494,-137.43453978995242,-294.20314804303683,-394.70668845139454
137,-243.72001520950542,-126.89248357335157,-275.9598660576897,-227.00715669751176
138,-31.67255329247658,-401.9406809877182,-135.4809584973339,-205.34596327531008
139,-248.04637409280303,-189.5448098726386,-297.5865130702343,-298.3294696516407
140,-286.30222305876885,-149.00675926203243,-125.41850187157212,-229.89196826185287
141,-224.29048560337725,-154.05394605359706,-389.43750141414415,-230.46595985269605
142,-175.31496664557125,-148.49044331694836,-267.75422394131306,-210.63477566025978
143,-257.7979974479663,-149.4939915137827,-298.56769686313146,-361.6245635646027
144,-219.0527406910586,-356.31954058061956,-190.89678701370366,-201.832056009592
145,-272.0357039533495,-115.26347189565084,-363.14441093644945,-260.1888230533139
146,-268.9214796578095,-141.99286823663726,-290.6951870875407,-221.39334951353473
147,-227.974208138743,-185.16137418685696,-301.90685970589175,-268.75198550928104
148,-322.2229095058914,-146.23687244442166,-100.70957721312588,-396.5353502328679
149,-252.59193040776967,-180.98411664830667,-122.90856787535853,-220.1167144925451
150,-272.5481889652328,-132.46471715745201,-277.90343772112976,-219.32908136826518
151,-243.36365176467075,-123.84617905562408,-259.72921839932326,-341.4467531921741
152,-245.04413784886486,22.87413784353916,-236.39383388142798,-205.05270647597945
153,-241.05874796610274,-22.122093664813306,-55.98670633404116,-186.18111441986343
154,-313.5774578771001,-150.41080016922973,-40.621190143973905,-156.0573350977734
155,-291.5182306444844,-160.8686791780604,-312.7904335598049,-31.511912331866043
156,-138.08564970481876,-137.8106572648783,-243.8979814828621,-233.64797593346788
157,-278.76439823979626,-78.25509898644984,-227.30822590705375,-166.30655015265552
158,-151.95138530121505,-137.31119873459642,-305.6813281285649,-138.36129867480918
159,-268.8530188758077,-169.12519627700328,-234.81126962934846,-222.91437570545594
160,-164.11106566527098,-285.7913125693144,-352.10634313145727,-168.2228359804078
