,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
90,-237.50333829138813,-31.593815440731234,-37.069275171125156,-241.61756455367066
91,-320.48281266009405,-20.795173631706845,-99.4647368944088,-137.2998603526601
92,-325.1627239412345,-43.5152767930377,-219.6475240974453,-155.0857521584507
93,-169.78282423911688,-17.76572229294206,-21.133009584461078,-176.82086115020113
94,-254.59853343706658,-46.69127849503228,-192.6624431854098,-242.69478302165473
95,-337.6253897724629,17.75683723596198,-31.35980403647352,-92.14519469011472
96,-311.8463477103611,-147.96196067158687,-250.17470753145403,-205.75051419922082
97,-389.6547756454586,-92.32248427983475,-92.96813894573854,-179.23677994253043
98,-385.66566381384814,-15.076085894637316,-113.00037523885103,-163.48810629989555
99,-351.1112474027243,-174.13840800041186,-70.01222212655505,-185.1213980392571
100,-333.60561987066086,-242.4323642896063,-120.18027049475342,-40.87066363673293
101,-400.79139209284835,-6.837236905649803,-180.0407571113103,-189.34668279893026
102,-245.14059329666972,-257.28468692815676,-16.92940144948075,-160.2584670004418
103,-225.44329576208963,-40.52623624689826,-37.41501886751853,-128.57472611637965
104,-258.08058935862323,-80.71249027844999,-100.63288422961537,-113.52375077012098
105,-297.8397582294873,-58.24893126733241,-56.75384392113126,-48.58546702284025
106,-435.97804399371785,-112.74096393580422,-218.7878688110075,-126.51266875641622
107,-218.12061161758368,-177.04806057643304,-105.4079105705409,-114.16462248149699
108,-245.03338284466074,-230.94358570433323,-293.59979600363147,-115.41982528825966
109,-295.08961084052527,-271.0861663535443,-230.43290921891506,-66.97811665542315
110,-166.60510494116198,-227.71279876178812,-143.62539501190565,-162.27485010759884
111,-262.81054710167007,-64.81020148330757,-141.06275368563195,-120.32448735382434
112,-250.19052276789924,-87.75274195263886,-192.8842388395669,-168.5336709314196
113,-232.17898495790038,-470.6825506451888,-138.8240492688006,-382.27962953670465
114,-268.6586059251351,-109.8267161540337,-253.12855839664346,-121.29172632758463
115,-199.29609327995655,-195.0009051564281,-208.21610685747464,-138.12300317253715
116,-381.0641266223796,20.480682979343904,-412.25032954122054,-102.57259250337609
117,-447.1346060564714,122.62473936238806,-197.67327935788592,-142.0825587256391
118,-272.90507034396325,45.07377941015186,-269.5215596869811,-312.9227565243614
119,-339.5730974179162,-322.24768087894927,-112.55933762227241,-191.40211099718348
120,-362.688472811243,-91.66684708471496,-201.53515528626687,-94.36059372039722
121,-243.079351733572,128.73305935292453,-152.7658469744231,-131.541346355187
122,-302.1012087784592,-98.54321904595936,-77.06413452770788,-113.1629811582686
123,-255.3358522791718,-247.05514392245917,-84.69329591886195,-148.04537637609042
124,-377.9701066756278,-224.40368737742932,-270.44632126912586,-121.10190651065469
125,-116.86225478967941,-232.2300068577806,-138.02518268781088,-126.67783621493851
126,-396.851960350874,-118.64943022507381,-186.5659929816589,-247.97906633552637
127,-289.7848999350991,6.815758613526384,-187.58272817878094,-243.69212069226938
128,-192.39808633680835,-27.780563442159618,170.56383894948647,-209.39965158649585
129,-214.95296162817618,-80.92192406641571,-77.26129789884814,-130.32115362278068
130,-157.1020128291898,-193.41684703419347,-275.0674966680581,-375.42195538956275
131,-228.19459455842403,-75.27465362237302,-137.17451355855997,-273.14958530580543
132,-160.75649876295523,-227.53207485320905,-269.35551165386784,-192.2973653485211
133,-298.0486964192806,-359.1594876718765,-271.6925000284294,-276.77079596226383
134,-84.28525259763998,-195.8258544957798,-65.03028015132901,-126.75477443944888
135,-407.79394718404484,-41.953403676484164,-84.01696060532824,-242.59077859876868
136,-179.62548931406735,93.65290629453187,-127.4567571602838,-167.944690081771
137,-329.9146275543508,-129.74019668367185,-115.01015421999531,-183.76324177025998
138,-353.2685415490788,-161.27547641021516,-240.09286722419546,-272.5539913735888
139,-285.7958264683525,-90.83142985835691,-79.77012343241677,-212.64083319713575
140,-132.19404413271047,-13.829678361196414,-235.72743923722135,-278.12816252835114
141,-195.50941750768004,128.93180694782527,-113.53064868741234,-391.3439244802221
142,-192.97128345100302,-82.32728969022702,-76.02066647540215,-225.40679091875322
143,-268.71541834143665,-279.2697486294245,-219.36784383461273,-218.13758995556321
144,-338.0671440329244,-83.53820419639547,-128.16245623706766,-220.99643421340545
145,-199.14595627139352,-175.6111677708737,-104.24500717086318,-354.4893811719901
146,-246.1017952659345,-67.16328038495838,-41.86059095152433,-270.8096217601761
147,-148.6844315187551,-220.7963744318837,-127.37826253177315,-263.5265786123109
148,-160.22609320953472,-211.40208819494805,-123.31943813162599,-178.9753003468884
149,-271.4556786072032,-341.9290617831942,-130.01340193619646,-144.37861216804967
150,-281.04952892191614,-177.8845354759614,-153.30029256318443,-242.30544673078546
151,-224.65661930862262,-251.7726899369439,-242.48478591821106,-331.8815135591627
152,-195.30089125270257,98.70025210376274,-90.32926002858673,-250.27809381748386
153,-245.00095971516882,103.70514798123465,-270.1949852659489,-148.33585126864807
154,-183.18194493504768,-237.52520122420137,-53.99624796285537,-158.29407850608595
155,-195.3246653524114,66.13828264616026,-81.5934967359859,-263.5505729047067
156,-174.55497786218825,110.34764175236306,-273.6156112218049,-243.19246103454273
157,-422.0421282214361,-137.10566505467654,-264.55403809560613,-266.5540067160914
158,-212.86735739121468,-157.50461431715058,-37.050697463706285,-265.17653269739054
159,-275.91851091531254,-251.63384071830038,-288.2577738548565,-316.24151853518896
160,-220.95316335067793,-46.93586644564748,-246.86268894849727,-231.07495102889357
161,-231.3644584737626,-27.26417215816049,-196.89931479547533,-247.98081382263052
162,-206.75059435413982,-237.69330910377354,-78.83978046863724,-243.5140280139755
163,-221.4112564803225,-199.08867628855947,-43.17446887102864,-429.6092938164935
164,-231.65780512756956,137.5502780672632,-30.60773747458515,-218.6893485624488
165,-214.5908686317307,-314.7701234896433,-335.04068299409107,-192.03640078548696
166,-230.46607825008013,-129.01819808111267,-290.0426974121475,-285.9757591950115
167,-209.21235591605344,98.04601032971385,-225.75208907772532,-245.326174610095
168,-268.87997887691813,-126.59080623154517,-148.03749163654706,-271.14646074539525
169,-201.73225999211917,-374.71709850556994,-227.4064054175426,-239.93961007884505
170,-190.67626683792662,-55.856177377623794,-264.80257085618064,-148.69373154067247
171,-260.1248818349833,-177.08804776037033,-111.95072635368061,-116.19564555272595
172,-195.31322041774095,-101.92079287818798,-205.42168682001812,-254.4940907142206
173,-198.67725410972452,-296.1597561503088,-148.2739392154229,-253.6518471981797
174,-265.252778945552,-359.83657201658286,-215.13115556853714,-100.6009624765974
175,-208.67209293712682,-225.82707685510525,-274.6069959564395,-210.5859328821272
176,-221.29355737591044,-159.62249222398478,-107.55313062963278,-229.830596767072
177,-187.48855253976268,-181.35220578731463,-238.15260902084202,-267.30911374616824
178,-189.50333928482212,-258.50146472137743,-92.14706115662719,-103.36622887189172
179,-314.95352450486894,-198.36639013930596,-187.2825767063344,-243.48031799725769
180,-270.77944691376916,-160.39426336519884,-356.79404141359726,-172.55066221794945
181,-177.15833392850413,-419.8170182306178,-138.2527919006228,-287.0985868814771
