,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
414,909.0,213.0,478.0,313.0
415,1000.0,168.0,577.0,141.0
416,1000.0,180.0,536.0,346.0
417,1000.0,232.0,548.0,336.0
418,1000.0,131.0,482.0,335.0
419,898.0,128.0,531.0,314.0
420,1000.0,110.0,496.0,312.0
421,966.0,107.0,443.0,317.0
422,1000.0,193.0,463.0,305.0
423,1000.0,148.0,408.0,182.0
424,1000.0,136.0,481.0,305.0
425,105.0,128.0,456.0,106.0
426,968.0,165.0,513.0,307.0
427,104.0,164.0,498.0,318.0
428,729.0,237.0,527.0,221.0
429,1000.0,176.0,496.0,186.0
430,1000.0,168.0,546.0,100.0
431,111.0,118.0,498.0,334.0
432,1000.0,175.0,479.0,314.0
433,255.0,152.0,481.0,325.0
434,999.0,147.0,396.0,327.0
435,981.0,118.0,466.0,105.0
436,961.0,148.0,493.0,328.0
437,1000.0,128.0,363.0,323.0
438,1000.0,211.0,542.0,310.0
439,1000.0,170.0,445.0,253.0
440,1000.0,174.0,495.0,319.0
441,916.0,202.0,478.0,328.0
442,1000.0,121.0,370.0,321.0
443,1000.0,158.0,318.0,113.0
444,1000.0,219.0,440.0,333.0
445,1000.0,349.0,450.0,328.0
446,998.0,120.0,400.0,336.0
447,110.0,122.0,370.0,321.0
448,995.0,166.0,430.0,326.0
449,1000.0,165.0,362.0,338.0
450,998.0,156.0,652.0,299.0
451,1000.0,135.0,442.0,111.0
452,505.0,232.0,441.0,331.0
453,977.0,159.0,457.0,330.0
454,1000.0,264.0,432.0,335.0
455,1000.0,180.0,378.0,147.0
456,1000.0,242.0,357.0,332.0
457,1000.0,144.0,320.0,328.0
458,977.0,104.0,533.0,330.0
459,1000.0,174.0,455.0,321.0
460,1000.0,285.0,364.0,317.0
461,1000.0,234.0,352.0,322.0
462,1000.0,180.0,492.0,328.0
463,1000.0,200.0,424.0,319.0
464,1000.0,159.0,375.0,313.0
465,1000.0,291.0,387.0,327.0
466,377.0,255.0,273.0,362.0
467,1000.0,158.0,260.0,435.0
468,989.0,152.0,464.0,316.0
469,1000.0,275.0,501.0,96.0
470,122.0,200.0,459.0,504.0
471,212.0,163.0,401.0,136.0
472,241.0,160.0,488.0,342.0
473,1000.0,173.0,421.0,763.0
474,1000.0,132.0,399.0,309.0
475,990.0,224.0,487.0,183.0
476,1000.0,121.0,264.0,326.0
477,100.0,199.0,416.0,130.0
478,1000.0,210.0,495.0,175.0
479,410.0,307.0,492.0,313.0
480,1000.0,119.0,508.0,506.0
481,1000.0,105.0,501.0,323.0
482,193.0,344.0,365.0,222.0
483,1000.0,220.0,503.0,141.0
484,998.0,293.0,414.0,125.0
485,1000.0,130.0,433.0,86.0
486,399.0,187.0,343.0,214.0
487,1000.0,318.0,512.0,187.0
488,378.0,203.0,411.0,94.0
489,1000.0,265.0,513.0,401.0
490,1000.0,199.0,389.0,86.0
491,1000.0,342.0,472.0,334.0
492,1000.0,143.0,514.0,115.0
493,355.0,165.0,541.0,82.0
494,1000.0,132.0,509.0,248.0
495,1000.0,153.0,520.0,203.0
496,1000.0,113.0,394.0,348.0
497,1000.0,182.0,500.0,341.0
498,1000.0,296.0,489.0,335.0
499,1000.0,188.0,504.0,124.0
500,1000.0,254.0,503.0,461.0
