,Initial RAR 0.3,Initial RAR 0.4,Initial RAR 0.5,Initial RAR 0.6,Initial RAR 0.7
167,-224.2064997188163,-107.81250393622814,-129.36081295770654,-229.78257238224992,-281.461624094884
168,-188.111463145641,-81.02208018845413,-108.86245126145134,-211.82723327180503,-248.971104701922
169,-201.12368394751016,-166.55140092382481,-144.82809587050184,-143.4964955600049,-102.29031127891184
170,-186.58240446394956,-138.4910040157514,-219.9651107523518,-303.7939581151031,113.91740718832816
171,-138.29027118667162,158.44756095024184,-167.74468316049422,-231.96416130245927,0.6601930118262878
172,-306.0253296600471,-83.55260550490979,-380.9922150186582,-385.63281183112565,-283.3570505718804
173,-212.9083067611619,186.6378577570428,-91.39564839257072,-73.83016879769336,23.818032298044933
174,-260.8262993655014,133.86301346156318,-225.65840402775916,-115.60124420504876,6.769192456074682
175,-238.97792338867725,-120.0244443951948,-91.50299575097804,-99.3032800278901,-64.40984783735642
176,-153.39864506257382,-17.629745583331843,-120.43510050032748,31.735086699768633,-82.89049601663169
177,-235.5787202820973,-212.1899535368394,-53.55070435318138,-244.85741331482984,-161.58973599000808
178,-350.3048494937585,-217.8136772455286,-99.43246813178652,-130.67825374745195,-91.28247290105514
179,-163.72092650435144,79.72430968732742,-156.7443483683367,-212.21832621596934,6.447989291188073
180,-127.97789132317953,-27.659103135554773,-218.10296600505933,-162.3081602606818,-32.79958949234868
181,-147.20799195095174,-218.70477357075694,-71.87015914369869,-171.08317186330237,137.20735258308858
182,-127.10672031707388,81.09150148140711,-137.7420630070817,-152.06930652479747,29.357690369324875
183,-103.73219905087375,-248.37372395194507,-492.4346083254244,-352.32971041806104,-124.4963212530404
184,-91.3744109526322,-11.960079836963473,-149.9455825439764,-136.63146965705482,-118.83796456945953
185,-80.05398599780025,88.48232021944449,-208.69974910525514,-431.2100218612209,-94.01748622313531
186,-194.01027992504484,-190.14245026546905,-235.9600090804795,-241.46380768314313,118.89170445239743
187,-142.78238999542242,163.30732396282542,-265.52268891095554,-111.56663149539173,42.78013574345472
188,-149.30763620092506,31.80154968917369,-216.5861815346682,-93.93860700897649,43.94166006772599
189,-166.46078614032132,28.381465107041826,-149.73989429637754,-160.54271013994048,44.58831711128465
190,-258.67098145311246,-24.589413635950912,201.07103028981652,13.571013118413157,104.37528863336675
191,-184.2203715696335,7.178937057239836,-79.83627436982368,-126.98976529251318,-1.549456913576048
192,-194.9743798818297,106.090238895074,-255.95818372050636,-92.95275156747157,27.873375428891077
193,-152.11644216723656,-37.12378385058041,-194.03924823631144,-176.5260948433707,-6.557881074629076
194,-159.53613023364173,129.34691640187205,-262.3951381980129,-89.43904415549656,-10.853983872590733
195,-168.89262591803308,157.52210624109796,-433.5981248326042,-21.18144858370158,1.392052955020283
196,-148.49494884842494,29.94109130556681,-134.0359080317259,111.43414693029287,21.859718823242293
197,-101.20931588168773,139.34388781325052,-347.95956275047627,-154.45697474901988,39.45140941099383
198,-129.6795908058869,108.83881718589925,-253.23801342105816,-158.10713505587108,-0.8863428580923298
199,-201.42462659994533,3.230571095529309,-227.43561816406188,-130.12469078684288,-54.66727329451604
200,-363.0700864682832,103.63475104629326,-97.28950715955366,-66.4889448908624,-71.93069709474207
201,-197.71876930217056,4.50671767857492,-283.626891620181,-66.5587125357612,-39.59704077892354
202,-226.57927391356912,133.2871359063745,-300.5826137930633,-111.86636789043986,-12.896780986675676
203,-225.87169932823662,-19.657928602433046,-182.10578116636867,-272.16034427714004,-262.15263339881244
204,-275.39818800081423,158.95931941577496,-225.98398663652247,-167.28409953021605,3.472880785916865
205,-13.207316180311096,197.50586087129653,-452.1469267491909,-189.09317142979356,-9.786386378013285
206,-171.12024139069433,184.8059575055875,-228.40142471346132,128.44854301972015,-117.41221073179271
207,-326.1580301917536,211.52152342241186,-162.16962086142354,-52.978575567862634,1.3612268891259751
