,one 64 layer,one 128 layer,two 64 layer
103,52.561086583720794,-259.5560632393874,-469.76568449681884
104,-121.83903657481197,-451.97780528946674,-248.10526172342605
105,-136.84904938580888,-233.95798464544586,-192.42726748644264
106,-125.9015513097904,-84.61626520668861,-207.18409939671096
107,-116.47822809003543,-167.64264232398847,-341.10363991536394
108,-10.044004225398297,-108.07922611796437,-149.45091075479183
109,204.5294760700944,-611.9095976189267,-328.4284816462988
110,-165.88244179793264,-440.5475168401034,-517.6213582000499
111,-162.8555772275651,-211.642892995549,-436.1593733487976
112,-107.48072079743264,-114.02185454562098,-101.86497522126709
113,-192.39434065013023,-410.20116333467644,-281.637925756277
114,-278.8345407359895,-59.66865100797843,-383.08127133801264
115,-272.46009786399907,-446.68470556826503,-180.19748042901017
116,-265.02057566247254,-50.19479939690129,-220.95097833253845
117,-314.9107118693396,-68.03567451556881,-185.4679375841612
118,-24.41100314603078,-405.8293795345123,-411.87335123692577
119,147.35165123246682,-135.5249531000506,-133.54425299171473
120,-285.4412599940389,-725.6219951757151,-227.07156375432584
121,-115.82604021547439,-39.2707899609765,-65.67545006291486
122,156.02609634187246,-398.9361526800334,-385.1554802323054
123,-497.90619567949443,-219.14942616430062,-235.66950974602364
124,-313.52059717059313,-261.8583541730177,-215.34083738574782
125,-173.12944669297167,-212.07232094739373,-327.20825848691004
126,-122.89255812210516,-685.0456127615415,-326.15499197726785
127,-116.18689988637304,-168.79859059209852,-2.6220213711776434
128,-194.74795010638536,-390.46070577466446,-136.93603016255312
129,-97.94241064311608,-9.386010466473195,-277.2230054439238
130,257.1806436851448,-251.59715319322373,-131.64667126940597
131,-22.76593813962714,-312.41835054257217,-71.74335241682512
132,-32.74298350910121,-309.940126638993,-282.92425334610994
133,187.84530585019473,-357.15292088960655,-55.26009253333122
134,157.70457507786853,-285.42964894810495,-228.54900278028788
135,262.31993205500413,-365.55644258228085,-242.91632035156215
136,203.39427713690583,-488.57962336149075,-121.91705262161865
137,237.05440936790393,-397.28140705409584,-92.95716002599465
138,-46.09926649949324,-282.83217533489005,-202.4299543093599
139,-37.83186295709771,-21.7570422609289,-120.47443712156011
140,-66.4557023562466,-218.4125714860933,-58.09020089661628
141,-68.67702955943541,-321.1320764486833,-243.43108984856102
142,213.15989350521735,-287.90763932780754,-83.5978457444172
143,-132.32641073106694,-391.61457878365826,-208.63824613637172
144,168.59326550032478,-207.9505961754598,-289.90469773835287
145,-11.610107163445207,-303.48761732564105,-140.9920343889638
146,74.02103815907346,-493.4794927799626,-153.1181589641336
147,216.47997608222363,-365.6799325643464,-170.24256956800787
148,145.57526906256788,-263.0454995834423,-139.75740670593623
149,-2.8217896146101964,-300.6877020953814,-38.35848488214009
150,187.1546575843455,22.776427894781577,-478.3545783632629
151,146.90122688627906,-402.6813625047631,-16.82551862582982
152,-109.90844209201732,231.2801337523662,-112.38992296561321
153,192.90922334828593,-270.4632747961863,-211.55713835987865
154,169.84875106185376,-325.02748574909276,-118.46588640060321
155,194.09680446622434,-274.64154896170123,-60.35054699475564
156,69.73589046342515,-221.48678810663284,-141.29954321033182
157,156.1095045680212,-233.59069260142036,-104.6405084825213
158,144.90071556382426,-381.83471655231546,-88.2560781333276
159,156.94091560228028,-352.7332328259166,-180.94007048911698
160,-32.749642541837254,-293.9478445161505,-4.6449473321590204
161,14.824089382128761,-530.7375974415237,-67.4077756522547
162,-60.87251892248376,-307.054028809701,-214.63146738319637
163,160.3709802051282,-310.75016360259116,-176.53684473653746
164,185.66835791689903,-123.07215367118357,-134.27407277402153
165,32.9388160117084,-410.0195813775037,-35.25039854969148
166,159.14992826622336,-331.6904795121559,-177.0061116698987
167,-94.68804470083771,-56.251052877360074,-262.7487213815104
168,-53.50413482888638,-515.9918221962346,-206.7747471134017
169,149.62354441534058,-464.69486026478444,-170.2746922560217
170,12.984949928755633,-409.95632449044086,-109.36077567521727
171,-153.36404305278467,-502.1368710687506,-18.268057381883764
172,-69.83361676474078,-55.28119287466871,-175.94717946291098
173,288.15973839524327,-880.8366414154464,-265.9059598190402
174,-102.9372401684133,-212.82760642363303,-241.6520198678816
175,-67.40415404936569,-397.5235617577419,-69.9943950080237
176,148.33683929589526,-258.0093445505015,-147.1409986035452
177,218.76788769976824,-239.5572894267687,-81.67836235794911
178,-131.09454796755517,-19.919355930524333,-97.00831637701926
179,137.63441278340227,-487.4080347063933,-100.86453848745755
180,170.12445041196764,-70.92036301620183,-133.6471285574441
181,133.18790437407588,-206.84120740233575,-112.02275902981738
182,199.87312257267206,-236.9808229817733,-89.44645422976284
183,92.72298458149139,-43.3334940195924,-191.7423262641738
184,118.7169591233616,-135.39339035970394,-47.66359631879904
185,244.24616809544793,-863.3663595863358,-236.0741682572272
186,-189.02707969758518,-207.83142440219757,-159.60429259316328
187,-61.05198997780997,-537.4691706817434,-70.18893767338827
188,49.64427269447397,-846.5139470632932,-68.26536912937014
189,203.27553862506696,-174.10996210483586,-56.53635621654889
190,10.169334162120455,-103.30224864244343,-104.79158688125911
191,-62.76599169318112,-255.8574197929462,-103.18276654288965
192,106.94186631894102,-216.29863380344435,-347.0999726625139
193,-116.94170711288584,-900.3419148043865,-96.23020465901763
194,-171.1485164982888,-1046.2989155679224,-18.578803814327088
195,-33.07156237029092,-245.01948102582656,-72.64839934415686
196,284.80663959943394,-214.46986323326962,-150.7545924768906
197,186.1085493952018,-106.80283310348952,35.6940499300748
198,-159.74944686391234,-965.3954924853167,-56.252977446226225
199,213.84506167040982,-385.6845280590859,-137.02835361690322
200,-172.14020214643716,-111.69932801348982,-753.4777533003756
201,-19.813211978890337,-113.69820721068473,-25.57742262530897
202,290.45244641519974,-239.78142828947853,-277.74017573841184
203,245.08617702839373,-903.4099467317791,-133.18574341093995
204,-58.537505303129635,-160.674454722284,-226.73899208847735
205,-11.418194333629373,-104.83547451525097,-122.52891039885418
206,-182.47491771127946,-230.7964780647087,-110.92096648782936
207,-55.033707333992915,-229.3783459875593,-110.21826420649663
208,-50.47184831949606,-193.7118452966539,-374.2810804792214
209,260.8699344299622,-380.8500468615545,-291.2944368039475
210,-49.76780926192508,-386.6540032552782,-28.928377300170304
211,29.25439640137293,-190.63734588078165,-84.3540656270387
212,-23.371623658367852,-210.4428136049862,-257.05608498643824
213,-19.808301159695432,-76.26416342859713,-223.84649628547032
214,29.342019605310895,-348.08050658647323,-174.84534178823984
215,-3.244792043998345,-204.85933180090734,169.85544138804715
216,-15.5289237520213,-119.87584209705862,-437.2480326755577
217,2.7203061781198556,-105.12641035910364,-168.82261572112145
218,-141.16093406186366,-550.744713715459,-422.66116320587736
219,-189.17986450151523,-234.17805025511186,-102.00819199469888
220,-3.340580854652643,-100.74042994817765,-120.13326719795326
221,-223.93392972476283,-254.88928760444153,-220.4582863341659
222,-20.889291461305575,-49.043101873176866,-276.0509875334476
223,-21.954725271606108,-610.4670422132301,-186.73027038656002
224,218.1532954234663,-600.6359054279975,-149.89635241561973
225,7.13482023405264,-273.02818295955325,-121.08565525166796
226,-60.73194863626265,-25.698625706309997,-139.94316687350246
227,-153.57480294977498,-188.13078994272422,-124.69203844610709
228,206.15921844054196,-121.2078365072908,-249.62038917364163
229,278.822810002422,-254.14979298081587,33.44900309354433
230,272.618545300097,-282.52228388038156,-17.157727628874824
231,-4.186699737731445,-601.5287413222583,-200.12221046484711
232,-4.8157814658249976,-554.606320676511,-151.49422582782978
233,-129.97898358543557,-224.50483532812171,-150.65125561197777
234,-52.52699627991393,-557.2023594024314,-149.29450016213474
235,291.09657783673265,-250.2615482873942,-363.13897719973687
236,144.55429851032764,-224.91204150658658,-481.239368706799
237,68.25796685809374,-108.51131522684376,-372.42968428254517
238,270.3660903866274,-534.6362858201121,-520.7121890618456
239,251.10084512604746,-535.1821779113374,-206.73665252742188
240,-220.7337788227594,13.377483032913716,-301.3506122510431
241,185.04662089580276,-244.0463144729211,-825.9591354915963
242,-115.26816053382078,-444.946198851577,-156.88850228644864
243,149.80618931484958,-419.0689419476659,-133.9026698347051
244,9.08695278080981,-404.1688719767828,-244.64259169133635
245,141.76935647336228,-11.363981269340783,-856.9199202526662
246,10.708066018441247,-7.379505650337322,159.52194708101064
247,15.847437964461026,-307.7201057513419,-139.35300620816332
248,32.88723284223684,-291.1463197558393,-8.371801465539022
249,136.1094467010875,-345.2657178473015,-294.8286549974923
250,219.65514949483017,-314.57718621398004,-234.19192384531812
251,24.785363551479357,-380.0369544617084,-306.77933306602824
252,-32.765348575196555,-386.7957962623908,-14.684829638497199
253,42.648095181444894,-391.8983153354541,-220.33152305691715
254,144.16956102323675,-350.70500234182686,-106.67173750358687
255,-35.21390199122992,-302.8751469818477,107.41969616851881
256,33.612968045660914,-312.1551179985569,-46.32008009730808
257,-47.367156448108574,-99.48300259604713,178.67149420979337
258,-119.18793755310729,-314.72272690209286,-74.81770452546164
259,-72.11907705215675,-262.6903960261882,-80.70997226112769
260,-191.35521423267417,-165.94966802954423,-261.20597076315386
261,-4.931714927677303,-276.1756868327681,-83.97418382594451
262,176.13720991014077,-245.31016233540475,-49.671162860215944
263,179.29735050872176,-305.970639059569,-153.62341507085029
264,187.4440468923389,-269.8226951895272,-319.1079937977257
265,-135.3845929496265,-135.38766152866145,-113.41594541365369
266,-79.97980878900111,-253.77007371895021,191.65034399783804
267,1.8739002679038252,-397.84785662163415,12.185061004693324
268,-29.17361088658289,-335.4159564650968,-178.27508592806436
269,-19.63776933261655,-242.6646985921235,-219.56144165114708
270,-44.31525413941158,-248.63917050181416,87.98140116593352
271,-196.19774541565383,-63.26024490411057,-164.04158521366838
272,-105.96618806439524,-222.15278085063287,-320.8433590729318
273,122.9821091209057,-424.36106596942113,-291.1815506849837
274,-125.89427559027452,-182.28814115003917,-150.45856837380026
275,139.00248379570576,-249.8110703472263,-52.59699408088635
276,160.24502039801015,-385.1219500781538,-272.529561704161
277,-104.24771279226643,-248.31612412279972,-153.82172566850844
278,-43.08473859004225,-304.1304203238846,-439.0581466399906
279,-60.05182613296934,-341.70723264617925,-260.0270228245387
280,-144.53589588474279,-154.8661489160587,-88.94363874583452
281,222.63834083840067,-294.4114731180342,-465.30694963264654
282,-70.44588952939024,-287.17541977695385,-293.8459961209204
283,-35.27883141211947,-324.0656206141296,-12.794494894220323
284,20.626404181304963,-118.66528704610418,-145.07434134645075
285,-158.62943938737584,-229.10977976162678,-194.16444897970433
286,-18.981135737547433,-193.48115485422443,-197.60164756275577
287,179.05666396549856,-280.3907730009146,-483.5729977325633
288,28.281234617380186,-163.46456664398875,-326.4878292323695
289,-81.79495110537644,-292.8727479304838,-166.98981294614376
290,-130.6777739038552,-127.90077288806322,-193.8136630208422
291,-101.25187356754114,-332.9029970900625,-122.60786457355786
292,165.94409886799423,-284.95927926722277,-208.13622181301008
293,-66.80090105045028,-46.667051985344216,-484.0946667706658
294,199.40547580313418,-304.4321221076339,-269.9083579181574
295,-24.22068472693995,-246.73390651371489,-378.0302384932579
296,-160.12285925232646,-261.7765614383992,-298.9364361779956
297,-42.08256443447633,-250.42026700745905,-107.7912244305098
298,-145.8412855244485,-197.8637290211577,-98.31118077817311
299,-125.47637840020313,-71.96298332271883,-249.066241614011
300,177.32226325688958,-67.44597198800082,165.0306846669094
301,225.3429697069741,-142.5769046956135,-538.6430451853676
302,162.62630543188783,-359.61490815190393,-391.7196584010732
303,142.8307486351335,-86.90675712044236,-263.42001159817875
304,-24.413385959540975,-230.5976859792903,-429.4166016334543
305,-21.755503693306792,-178.47574538236293,-211.60962217972317
306,237.5791433439726,-140.63524955360404,-505.370061105684
307,215.0393402990934,-240.69584094222253,-24.55890042398412
308,166.65810501504188,-271.4774633037315,-138.82714668274363
309,-75.69905801470325,-334.86785666717117,-76.72705465875171
310,-250.07306549308834,-245.94636191964443,-248.24403938106
311,-42.18165995420606,-72.14740285134279,-194.80103473931885
312,164.98608897046904,-585.0058386038132,90.85653443026865
313,202.76488008960166,-245.88071314923766,-118.37934211862702
